OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_ASIAN_PI_NH,COUNT_BLACK_NH,COUNT_HISPANIC,COUNT_MULTIRACIAL_NH,COUNT_WHITE_NH,PERCENT_ASIAN_PI_NH,PERCENT_BLACK_NH,PERCENT_HISPANIC,PERCENT_MULTIRACIAL_NH,PERCENT_WHITE_NH,Shape__Area,Shape__Length
1,42101000100,2010,Census tract,3478,175,207,126,70,2890,5.03162737,5.95169638,3.62277171,2.01265095,83.09373203,1202256.62109375,4528.07858447924
2,42101000200,2010,Census tract,2937,1856,284,79,41,665,63.1937351,9.66973102,2.68981954,1.39598229,22.64215186,651654.75,3688.95896471245
3,42101000300,2010,Census tract,3169,329,324,135,80,2290,10.38182392,10.22404544,4.26001893,2.52445566,72.26254339,931965.453125,5040.14898562576
4,42101000401,2010,Census tract,2125,519,376,107,63,1049,24.42352941,17.69411765,5.03529412,2.96470588,49.36470588,397807.4609375,2733.4485366791
5,42101000402,2010,Census tract,3142,360,173,109,34,2455,11.45767027,5.5060471,3.46912794,1.0821133,78.13494589,517424.4375,3547.05489952626
6,42101000500,2010,Census tract,2329,342,870,306,47,750,14.68441391,37.35508802,13.13868613,2.01803349,32.20266209,730542.48828125,4003.46571785933
7,42101000600,2010,Census tract,1781,160,253,142,65,1151,8.98371701,14.20550253,7.97304885,3.64963504,64.62661426,294162.078125,3081.85519718307
8,42101000700,2010,Census tract,3082,463,281,142,73,2112,15.02271252,9.1174562,4.60739779,2.36859182,68.52693056,436441.4765625,4354.05143401093
9,42101000801,2010,Census tract,1562,173,46,90,30,1219,11.07554417,2.94494238,5.76184379,1.9206146,78.04097311,195652.5546875,1876.82521325263
10,42101000803,2010,Census tract,3601,444,74,122,67,2891,12.32990836,2.05498473,3.38794779,1.86059428,80.28325465,260353.03515625,2194.6603307206
11,42101000804,2010,Census tract,3609,425,98,179,62,2835,11.77611527,2.71543364,4.95982267,1.7179274,78.55361596,247799.65625,2119.21558106847
12,42101000901,2010,Census tract,2276,349,215,94,71,1528,15.33391916,9.44639719,4.13005272,3.11950791,67.13532513,179724.00390625,1726.92486455084
13,42101000902,2010,Census tract,2773,639,170,112,57,1793,23.04363505,6.13054454,4.03894699,2.05553552,64.65921385,264276.91796875,2285.45366083681
14,42101001001,2010,Census tract,2603,130,67,72,33,2294,4.99423742,2.57395313,2.76603919,1.26776796,88.12908183,390784.86328125,2942.0811065771
15,42101001002,2010,Census tract,3612,221,93,120,63,3103,6.11849391,2.57475083,3.32225914,1.74418605,85.90808416,803385.4296875,3636.74589019786
16,42101001101,2010,Census tract,3586,229,337,162,84,2765,6.38594534,9.39765756,4.51756832,2.34244283,77.10540993,296381.08203125,2191.76409566316
17,42101001102,2010,Census tract,2659,187,130,109,71,2155,7.03271907,4.88905604,4.09928545,2.67017676,81.04550583,347621.13671875,2400.13942278894
18,42101001201,2010,Census tract,3778,223,85,145,75,3238,5.90259397,2.24986765,3.83800953,1.98517734,85.70672313,594000.0625,3419.35429229329
19,42101001202,2010,Census tract,5137,322,283,262,119,4131,6.26824995,5.50905198,5.10025307,2.31652716,80.41658556,525644.83984375,3121.25979558614
20,42101001300,2010,Census tract,4942,244,1564,182,146,2780,4.93727236,31.64710643,3.68271955,2.95426953,56.25252934,1325227.98046875,4944.65182313082
21,42101001400,2010,Census tract,3950,219,1023,208,91,2386,5.5443038,25.89873418,5.26582278,2.30379747,60.40506329,537949.4296875,3411.33241374521
22,42101001500,2010,Census tract,2708,185,451,172,51,1841,6.83161004,16.65435746,6.35155096,1.88330871,67.98375185,407721.23828125,3550.45121685881
23,42101001600,2010,Census tract,2192,96,107,120,63,1797,4.37956204,4.88138686,5.47445255,2.87408759,81.97992701,334461.875,2613.19667091953
24,42101001700,2010,Census tract,2647,98,161,100,56,2217,3.7023045,6.08235739,3.77786173,2.11560257,83.75519456,377247.375,3059.97082380483
25,42101001800,2010,Census tract,2873,173,535,133,59,1959,6.02158023,18.62164984,4.62930734,2.05360251,68.18656457,413018.609375,3598.09768825176
26,42101001900,2010,Census tract,2721,119,1089,194,51,1258,4.37339214,40.02205072,7.12973172,1.87431092,46.23300257,559207.13671875,3443.02153314813
27,42101002000,2010,Census tract,2092,35,1799,70,57,116,1.67304015,85.99426386,3.34608031,2.72466539,5.54493308,492808.17578125,2882.53288833786
28,42101002100,2010,Census tract,2036,12,1620,108,47,240,0.58939096,79.56777996,5.30451866,2.30844794,11.78781925,404494.7578125,2580.85847126334
29,42101002200,2010,Census tract,2281,97,1376,175,67,557,4.25252082,60.32441911,7.67207365,2.9373082,24.41911442,389460.07421875,2518.89479262825
30,42101002300,2010,Census tract,2682,383,123,376,50,1737,14.28038777,4.58612975,14.01938852,1.86428039,64.76510067,361622.2734375,2771.14237965207
31,42101002400,2010,Census tract,5129,804,422,912,101,2878,15.67557029,8.2277247,17.78124391,1.96919477,56.11230259,911770.2734375,4810.55436155404
32,42101002500,2010,Census tract,3769,261,1316,293,72,1815,6.92491377,34.91642345,7.77394534,1.91032104,48.15600955,678879.6484375,3420.36199145849
33,42101002701,2010,Census tract,3874,1002,852,800,78,1117,25.86473929,21.99277233,20.65049045,2.01342282,28.83324729,382815.265625,2868.79928583571
34,42101002702,2010,Census tract,3566,100,125,148,53,3133,2.80426248,3.5053281,4.15030847,1.48625911,87.85754347,625938.94921875,3312.803683579
35,42101002801,2010,Census tract,4324,1360,325,1256,79,1282,31.45235893,7.51618871,29.04717854,1.82701203,29.64847364,379603.609375,2860.60987392366
36,42101002802,2010,Census tract,5539,1060,72,739,65,3588,19.13702834,1.29987362,13.34175844,1.17349702,64.77703557,617503.40625,3509.17707016628
37,42101002900,2010,Census tract,4141,301,102,262,105,3358,7.26877566,2.46317315,6.32697416,2.53561942,81.09152379,630349.109375,3759.95127192938
38,42101003001,2010,Census tract,4664,2282,1015,338,122,888,48.92795883,21.76243568,7.24699828,2.61578045,19.03945111,385746.25390625,2510.54145619303
39,42101003002,2010,Census tract,3200,331,1980,263,69,533,10.34375,61.875,8.21875,2.15625,16.65625,386436.41015625,2512.90141645221
40,42101003100,2010,Census tract,4437,197,3845,122,68,192,4.43993689,86.65765157,2.74960559,1.53256705,4.32724814,674166.73046875,3296.37047078166
41,42101003200,2010,Census tract,4875,45,4399,100,120,197,0.92307692,90.23589744,2.05128205,2.46153846,4.04102564,837344.1171875,3661.94559965747
