OBJECTID,YEAR,GEOGRAPHY_NAME,GEOGRAPHY,SEX,RACE_ETHNICITY,AGE_CATEGORY,COUNT_,SOURCE
1,2000,Philadelphia,County,All sexes,All races/ethnicities,All ages,1514563,Annual County Resident Population Estimates
2,2000,Philadelphia,County,All sexes,Asian/PI (NH),All ages,70128,Annual County Resident Population Estimates
3,2000,Philadelphia,County,All sexes,Black (NH),All ages,650126,Annual County Resident Population Estimates
4,2000,Philadelphia,County,All sexes,Hispanic,All ages,129881,Annual County Resident Population Estimates
5,2000,Philadelphia,County,All sexes,Multiracial (NH),All ages,14903,Annual County Resident Population Estimates
6,2000,Philadelphia,County,All sexes,White (NH),All ages,646522,Annual County Resident Population Estimates
7,2000,Philadelphia,County,Female,All races/ethnicities,All ages,810775,Annual County Resident Population Estimates
8,2000,Philadelphia,County,Female,Asian/PI (NH),All ages,35325,Annual County Resident Population Estimates
9,2000,Philadelphia,County,Female,Black (NH),All ages,358895,Annual County Resident Population Estimates
10,2000,Philadelphia,County,Female,Hispanic,All ages,66340,Annual County Resident Population Estimates
11,2000,Philadelphia,County,Female,Multiracial (NH),All ages,8018,Annual County Resident Population Estimates
12,2000,Philadelphia,County,Female,White (NH),All ages,340504,Annual County Resident Population Estimates
13,2000,Philadelphia,County,Male,All races/ethnicities,All ages,703788,Annual County Resident Population Estimates
14,2000,Philadelphia,County,Male,Asian/PI (NH),All ages,34803,Annual County Resident Population Estimates
15,2000,Philadelphia,County,Male,Black (NH),All ages,291231,Annual County Resident Population Estimates
16,2000,Philadelphia,County,Male,Hispanic,All ages,63541,Annual County Resident Population Estimates
17,2000,Philadelphia,County,Male,Multiracial (NH),All ages,6885,Annual County Resident Population Estimates
18,2000,Philadelphia,County,Male,White (NH),All ages,306018,Annual County Resident Population Estimates
19,2001,Philadelphia,County,All sexes,All races/ethnicities,All ages,1505455,Annual County Resident Population Estimates
20,2001,Philadelphia,County,All sexes,Asian/PI (NH),All ages,72042,Annual County Resident Population Estimates
21,2001,Philadelphia,County,All sexes,Black (NH),All ages,649353,Annual County Resident Population Estimates
22,2001,Philadelphia,County,All sexes,Hispanic,All ages,133691,Annual County Resident Population Estimates
23,2001,Philadelphia,County,All sexes,Multiracial (NH),All ages,15787,Annual County Resident Population Estimates
24,2001,Philadelphia,County,All sexes,White (NH),All ages,631581,Annual County Resident Population Estimates
25,2001,Philadelphia,County,Female,All races/ethnicities,All ages,805227,Annual County Resident Population Estimates
26,2001,Philadelphia,County,Female,Asian/PI (NH),All ages,36433,Annual County Resident Population Estimates
27,2001,Philadelphia,County,Female,Black (NH),All ages,358231,Annual County Resident Population Estimates
28,2001,Philadelphia,County,Female,Hispanic,All ages,68268,Annual County Resident Population Estimates
29,2001,Philadelphia,County,Female,Multiracial (NH),All ages,8508,Annual County Resident Population Estimates
30,2001,Philadelphia,County,Female,White (NH),All ages,332128,Annual County Resident Population Estimates
